filename,avg_r,avg_g,avg_b
gray_Emoji (49).png,110.86833190917969,110.86833190917969,110.86833190917969
Emoji (5).png,101.28224182128906,105.30073547363281,103.96415710449219
bgr_Emoji (5).png,136.33810424804688,103.96415710449219,105.30073547363281
enh_Emoji (5).png,111.90068054199219,115.03398132324219,114.02491760253906
gray_Emoji (5).png,103.93902587890625,103.93902587890625,103.93902587890625
Emoji (50).png,51.71482849121094,37.22599792480469,36.18049621582031
bgr_Emoji (50).png,142.32302856445312,36.18049621582031,37.22599792480469
enh_Emoji (50).png,66.88587951660156,46.13232421875,45.86509704589844
gray_Emoji (50).png,41.43016052246094,41.43016052246094,41.43016052246094
Emoji (51).png,55.45751953125,45.047515869140625,43.998321533203125
bgr_Emoji (51).png,144.96328735351562,43.998321533203125,45.047515869140625
enh_Emoji (51).png,67.40809631347656,53.16380310058594,53.34513854980469
gray_Emoji (51).png,48.04071044921875,48.04071044921875,48.04071044921875
Emoji (52).png,91.72285461425781,67.47030639648438,65.436279296875
bgr_Emoji (52).png,155.6172332763672,65.436279296875,67.47030639648438
enh_Emoji (52).png,102.42768859863281,72.57276916503906,70.06307983398438
gray_Emoji (52).png,74.50160217285156,74.50160217285156,74.50160217285156
Emoji (53).png,121.27835083007812,96.43380737304688,77.48002624511719
bgr_Emoji (53).png,148.43235778808594,77.48002624511719,96.43380737304688
enh_Emoji (53).png,119.35514831542969,101.84162902832031,78.98918151855469
gray_Emoji (53).png,101.77021789550781,101.77021789550781,101.77021789550781
Emoji (54).png,70.14407348632812,49.68745422363281,48.58058166503906
bgr_Emoji (54).png,156.7032012939453,48.58058166503906,49.68745422363281
enh_Emoji (54).png,81.4261474609375,55.90699768066406,55.2109375
gray_Emoji (54).png,55.69789123535156,55.69789123535156,55.69789123535156
Emoji (55).png,52.33531188964844,39.53645324707031,37.159698486328125
bgr_Emoji (55).png,134.33460998535156,37.159698486328125,39.53645324707031
enh_Emoji (55).png,63.97776794433594,46.97364807128906,45.31282043457031
gray_Emoji (55).png,43.094573974609375,43.094573974609375,43.094573974609375
Emoji (56).png,57.05322265625,42.480743408203125,41.429229736328125
bgr_Emoji (56).png,147.16734313964844,41.429229736328125,42.480743408203125
enh_Emoji (56).png,70.87660217285156,50.22406005859375,49.88136291503906
gray_Emoji (56).png,46.73063659667969,46.73063659667969,46.73063659667969
Emoji (57).png,56.62806701660156,43.48291015625,41.94160461425781
bgr_Emoji (57).png,148.3794708251953,41.94160461425781,43.48291015625
enh_Emoji (57).png,69.62431335449219,51.64930725097656,50.971221923828125
gray_Emoji (57).png,47.242340087890625,47.242340087890625,47.242340087890625
Emoji (58).png,51.52362060546875,55.31761169433594,54.0885009765625
bgr_Emoji (58).png,129.62596130371094,54.0885009765625,55.31761169433594
enh_Emoji (58).png,56.47088623046875,66.04347229003906,66.65217590332031
gray_Emoji (58).png,54.03346252441406,54.03346252441406,54.03346252441406
Emoji (59).png,60.54313659667969,62.064056396484375,58.942626953125
bgr_Emoji (59).png,132.5088653564453,58.942626953125,62.064056396484375
enh_Emoji (59).png,68.62649536132812,74.83882141113281,72.31547546386719
gray_Emoji (59).png,61.23173522949219,61.23173522949219,61.23173522949219
Emoji (6).png,61.77824401855469,48.486572265625,57.513763427734375
bgr_Emoji (6).png,153.85903930664062,57.513763427734375,48.486572265625
enh_Emoji (6).png,73.98255920410156,56.03021240234375,68.90068054199219
gray_Emoji (6).png,53.49082946777344,53.49082946777344,53.49082946777344
Emoji (60).png,45.92219543457031,48.79481506347656,48.77754211425781
bgr_Emoji (60).png,132.92080688476562,48.77754211425781,48.79481506347656
enh_Emoji (60).png,52.50067138671875,60.009857177734375,62.00181579589844
gray_Emoji (60).png,47.91639709472656,47.91639709472656,47.91639709472656
Emoji (61).png,46.87615966796875,51.706207275390625,50.95301818847656
bgr_Emoji (61).png,139.0846710205078,50.95301818847656,51.706207275390625
enh_Emoji (61).png,53.96672058105469,63.67991638183594,64.20228576660156
gray_Emoji (61).png,50.177764892578125,50.177764892578125,50.177764892578125
